,DOI,Title,Source title,PubYear,Times cited,pharmaceuticals,pharm
14,10.1016/j.scitotenv.2017.06.240,fate and impacts of pharmaceuticals and personal care products after repeated applications of organic waste products in long-term field experiments,the science of the total environment,2017,49,"['carbamazepine', 'diclofenac', 'doxycycline', 'ibuprofen', 'triclosan']",ibuprofen
15,10.1016/j.scitotenv.2016.12.191,"response of lemna gibba l. to high and environmentally relevant concentrations of ibuprofen: removal, metabolism and morpho-physiological traits for biomonitoring of emerging contaminants",the science of the total environment,2017,48,['ibuprofen'],ibuprofen
16,10.1016/j.scitotenv.2018.07.439,spatial distribution of pharmaceuticals in conventional wastewater treatment plant with sludge treatment reed beds technology,the science of the total environment,2018,39,"['diclofenac', 'flurbiprofen', 'ibuprofen', 'naproxen', 'paracetamol']",ibuprofen
17,10.1016/j.scitotenv.2018.04.212,sorption of pharmaceuticals to soil organic matter in a constructed wetland by electrostatic interaction,the science of the total environment,2018,38,"['atenolol', 'carbamazepine', 'ibuprofen']",ibuprofen
18,10.1016/j.envpol.2018.06.009,stereoselective effects of ibuprofen in adult zebrafish (danio rerio) using uplc-tof/ms-based metabolomics,environmental pollution,2018,37,['ibuprofen'],ibuprofen
19,10.1016/j.watres.2017.12.016,abiotic degradation and environmental toxicity of ibuprofen: roles of mineral particles and solar radiation,water research,2017,37,['ibuprofen'],ibuprofen
20,10.1016/j.envpol.2017.12.085,monitoring the occurrence of pharmaceuticals in soils irrigated with reclaimed wastewater,environmental pollution,2018,108,"['chlorothiazide', 'diclofenac', 'hydrochlorothiazide']",diclofenac
21,10.1016/j.scitotenv.2019.135021,"pharmaceuticals, pesticides, personal care products and microplastics contamination assessment of al-hassa irrigation network (saudi arabia) and its shallow lakes",the science of the total environment,2019,75,"['atorvastatin', 'caffeine', 'diazinon', 'diclofenac', 'lorazepam', 'metformin', 'ofloxacin', 'paracetamol', 'salicylic acid', 'tramadol']",diclofenac
22,10.1016/j.scitotenv.2018.05.403,"diclofenac, carbamazepine and triclocarban biodegradation in agricultural soils and the microorganisms and metabolic pathways affected",the science of the total environment,2018,64,"['carbamazepine', 'diclofenac', 'triclocarban']",diclofenac
23,10.1016/j.chemosphere.2017.02.027,sorption and desorption of selected non-steroidal anti-inflammatory drugs in an agricultural loam-textured soil,chemosphere,2017,55,"['diclofenac', 'ibuprofen', 'ketoprofen', 'naproxen']",diclofenac
24,10.1016/j.scitotenv.2019.02.279,sorption and degradation of contaminants of emerging concern in soils under aerobic and anaerobic conditions,the science of the total environment,2019,53,"['carbamazepine', 'chlorothiazide', 'diclofenac', 'gemfibrozil', 'hydrochlorothiazide', 'ibuprofen', 'nadolol', 'sulfamethizole', 'sulfamethoxazole']",diclofenac
25,10.1016/j.scitotenv.2017.06.240,fate and impacts of pharmaceuticals and personal care products after repeated applications of organic waste products in long-term field experiments,the science of the total environment,2017,49,"['carbamazepine', 'diclofenac', 'doxycycline', 'ibuprofen', 'triclosan']",diclofenac
26,10.1016/j.scitotenv.2018.07.439,spatial distribution of pharmaceuticals in conventional wastewater treatment plant with sludge treatment reed beds technology,the science of the total environment,2018,39,"['diclofenac', 'flurbiprofen', 'ibuprofen', 'naproxen', 'paracetamol']",diclofenac
27,10.1016/j.watres.2017.08.041,impact of inoculum sources on biotransformation of pharmaceuticals and personal care products,water research,2017,35,"['diclofenac', 'gabapentin', 'gemfibrozil', 'ibuprofen', 'triclosan']",diclofenac
28,10.1016/j.envpol.2020.116353,pharmaceuticals and personal care products in a mediterranean coastal wetland: impact of anthropogenic and spatial factors and environmental risk assessment,environmental pollution,2020,33,"['caffeine', 'diclofenac', 'furosemide', 'ibuprofen', 'metformin', 'salicylic acid', 'tramadol']",diclofenac
29,10.1016/j.scitotenv.2018.04.355,"poplar and diclofenac pollution: a focus on physiology, oxidative stress and uptake in plant organs",the science of the total environment,2018,31,['diclofenac'],diclofenac
30,10.1016/j.biortech.2019.02.091,enhanced adsorption of bisphenol a and sulfamethoxazole by a novel magnetic cuznfe2o4–biochar composite,bioresource technology,2019,127,['sulfamethoxazole'],sulfamethoxazole
31,10.1016/j.scitotenv.2019.02.279,sorption and degradation of contaminants of emerging concern in soils under aerobic and anaerobic conditions,the science of the total environment,2019,53,"['carbamazepine', 'chlorothiazide', 'diclofenac', 'gemfibrozil', 'hydrochlorothiazide', 'ibuprofen', 'nadolol', 'sulfamethizole', 'sulfamethoxazole']",sulfamethoxazole
32,10.1016/j.jpba.2017.08.014,"multi-residue determination of 47 organic compounds in water, soil, sediment and fish—turia river as case study",journal of pharmaceutical and biomedical analysis,2017,53,"['ibuprofen', 'metoprolol', 'paracetamol', 'sulfamethoxazole', 'vildagliptin']",sulfamethoxazole
33,10.1016/j.scitotenv.2017.04.002,effects of 18 pharmaceuticals on the physiological diversity of edaphic microorganisms,the science of the total environment,2017,44,"['nadolol', 'sulfamethoxazole', 'tetracycline', 'trimethoprim']",sulfamethoxazole
34,10.1016/j.ecoenv.2019.110022,"occurrence and human health risk assessment of pharmaceuticals and personal care products in real agricultural systems with long-term reclaimed wastewater irrigation in beijing, china",ecotoxicology and environmental safety,2019,41,"['sulfamethazine', 'sulfamethoxazole', 'sulfisoxazole', 'triclosan', 'trimethoprim']",sulfamethoxazole
35,10.1007/s11356-019-04333-9,"root uptake of atenolol, sulfamethoxazole and carbamazepine, and their transformation in three soils and four plants",environmental science and pollution research,2019,39,"['atenolol', 'carbamazepine', 'sulfamethoxazole']",sulfamethoxazole
36,10.1016/j.watres.2020.116054,degradation of organic pollutants by ferrate/biochar: enhanced formation of strong intermediate oxidative iron species,water research,2020,37,['sulfamethoxazole'],sulfamethoxazole
37,10.1016/j.envpol.2018.07.094,metabolism of sulfamethoxazole in arabidopsis thaliana cells and cucumber seedlings,environmental pollution,2018,36,['sulfamethoxazole'],sulfamethoxazole
38,10.1016/j.scitotenv.2018.03.100,occurrence and removal of pharmaceutical compounds and steroids at four wastewater treatment plants in hawai'i and their environmental fate,the science of the total environment,2018,28,"['caffeine', 'diphenhydramine', 'ibuprofen', 'sulfamethoxazole']",sulfamethoxazole
39,10.1021/acs.jafc.7b04355,uptake and accumulation of pharmaceuticals in overhead- and surface-irrigated greenhouse lettuce,journal of agricultural and food chemistry,2018,25,"['caffeine', 'carbamazepine', 'monensin', 'sulfadiazine', 'sulfamethoxazole', 'trimethoprim', 'tylosin']",sulfamethoxazole
40,10.1016/j.scitotenv.2019.136118,a review of the occurrence of selected micropollutants and microorganisms in different raw and treated manure – environmental risk due to antibiotics after application to soil,the science of the total environment,2019,66,"['chlortetracycline', 'enrofloxacin', 'ofloxacin', 'oxytetracycline', 'sulfamethazine', 'tetracycline']",tetracycline
41,10.1016/j.scitotenv.2018.11.061,"veterinary pharmaceuticals and antibiotics in manure and slurry and their fate in amended agricultural soils: findings from an experimental field site (baix empordà, ne catalonia)",the science of the total environment,2018,59,"['enrofloxacin', 'ofloxacin', 'tetracycline']",tetracycline
42,10.1128/aem.00989-17,novel antibiotic resistance determinants from agricultural soil exposed to antibiotics widely used in human medicine and animal farming,applied and environmental microbiology,2017,50,"['chlortetracycline', 'sulfamethazine', 'tetracycline', 'tylosin']",tetracycline
43,10.1016/j.scitotenv.2017.04.002,effects of 18 pharmaceuticals on the physiological diversity of edaphic microorganisms,the science of the total environment,2017,44,"['nadolol', 'sulfamethoxazole', 'tetracycline', 'trimethoprim']",tetracycline
44,10.1515/intag-2016-0084,impact of chlortetracycline and sulfapyridine antibiotics on soil enzyme activities,international agrophysics,2017,34,"['chlortetracycline', 'sulfapyridine', 'tetracycline']",tetracycline
45,10.1016/j.jhazmat.2020.124361,"electrocatalysis degradation of tetracycline in a three-dimensional aeration electrocatalysis reactor (3d-aer) with a flotation-tailings particle electrode (fpe): physicochemical properties, influencing factors and the degradation mechanism",journal of hazardous materials,2020,29,['tetracycline'],tetracycline
46,10.1007/s00216-017-0815-7,a new approach for the extraction of tetracyclines from soil matrices: application of the microwave-extraction technique,analytical and bioanalytical chemistry,2018,17,"['chlortetracycline', 'oxytetracycline', 'tetracycline']",tetracycline
47,10.1016/j.jhazmat.2020.122852,"impact of biochar amendment on the uptake, fate and bioavailability of pharmaceuticals in soil-radish systems",journal of hazardous materials,2020,17,"['acetaminophen', 'caffeine', 'carbadox', 'carbamazepine', 'estradiol', 'estrone', 'lamotrigine', 'lincomycin', 'oxytetracycline', 'sulfadiazine', 'sulfamethoxazole', 'tetracycline', 'triclosan', 'trimethoprim', 'tylosin']",tetracycline
48,10.1016/j.biortech.2020.123782,biochar affects the dissipation of antibiotics and abundance of antibiotic resistance genes in pig manure,bioresource technology,2020,16,"['ciprofloxacin', 'florfenicol', 'ofloxacin', 'oxytetracycline', 'sulfamethazine', 'tetracycline']",tetracycline
49,10.3390/molecules25020249,uv/vis light induced degradation of oxytetracycline hydrochloride mediated by co-tio2 nanoparticles,molecules,2020,15,"['oxytetracycline', 'tetracycline', 'tetracycline hydrochloride']",tetracycline
50,10.1016/j.scitotenv.2017.06.240,fate and impacts of pharmaceuticals and personal care products after repeated applications of organic waste products in long-term field experiments,the science of the total environment,2017,49,"['carbamazepine', 'diclofenac', 'doxycycline', 'ibuprofen', 'triclosan']",triclosan
51,10.1016/j.scitotenv.2018.12.145,"carbamazepine, triclocarban and triclosan biodegradation and the phylotypes and functional genes associated with xenobiotic degradation in four agricultural soils",the science of the total environment,2018,44,"['carbamazepine', 'triclocarban', 'triclosan']",triclosan
52,10.1016/j.ecoenv.2019.110022,"occurrence and human health risk assessment of pharmaceuticals and personal care products in real agricultural systems with long-term reclaimed wastewater irrigation in beijing, china",ecotoxicology and environmental safety,2019,41,"['sulfamethazine', 'sulfamethoxazole', 'sulfisoxazole', 'triclosan', 'trimethoprim']",triclosan
53,10.1016/j.watres.2017.08.041,impact of inoculum sources on biotransformation of pharmaceuticals and personal care products,water research,2017,35,"['diclofenac', 'gabapentin', 'gemfibrozil', 'ibuprofen', 'triclosan']",triclosan
54,10.1016/j.scitotenv.2018.09.268,"innovative application of biobed bioremediation systems to remove emerging contaminants: adsorption, degradation and bioaccesibility",the science of the total environment,2018,29,"['diclofenac', 'ibuprofen', 'triclosan']",triclosan
55,10.1016/j.teac.2021.e00125,occurrence of pharmaceuticals and their metabolites in sewage sludge and soil: a review on their distribution and environmental risk assessment,trends in environmental analytical chemistry,2021,27,"['ciprofloxacin', 'estradiol', 'ofloxacin', 'triclocarban', 'triclosan']",triclosan
56,10.1016/j.ecoenv.2020.110171,"uptake of atenolol, carbamazepine and triclosan by crops irrigated with reclaimed water in a mediterranean scenario",ecotoxicology and environmental safety,2020,26,"['atenolol', 'carbamazepine', 'triclosan']",triclosan
57,10.1016/j.scitotenv.2018.11.249,a review of selected microcontaminants and microorganisms in land runoff and tile drainage in treated sludge-amended soils,the science of the total environment,2018,21,"['acetaminophen', 'carbamazepine', 'gemfibrozil', 'ibuprofen', 'naproxen', 'sulfamethoxazole', 'triclocarban', 'triclosan']",triclosan
58,10.1016/j.scitotenv.2017.12.243,mobility of pharmaceutical and personal care products in lime amended wastewater biosolids,the science of the total environment,2017,19,"['carbamazepine', 'erythromycin', 'fluoxetine', 'gemfibrozil', 'naproxen', 'triclosan']",triclosan
59,10.1016/j.jhazmat.2020.122852,"impact of biochar amendment on the uptake, fate and bioavailability of pharmaceuticals in soil-radish systems",journal of hazardous materials,2020,17,"['acetaminophen', 'caffeine', 'carbadox', 'carbamazepine', 'estradiol', 'estrone', 'lamotrigine', 'lincomycin', 'oxytetracycline', 'sulfadiazine', 'sulfamethoxazole', 'tetracycline', 'triclosan', 'trimethoprim', 'tylosin']",triclosan
60,10.1016/j.scitotenv.2019.135021,"pharmaceuticals, pesticides, personal care products and microplastics contamination assessment of al-hassa irrigation network (saudi arabia) and its shallow lakes",the science of the total environment,2019,75,"['atorvastatin', 'caffeine', 'diazinon', 'diclofenac', 'lorazepam', 'metformin', 'ofloxacin', 'paracetamol', 'salicylic acid', 'tramadol']",ofloxacin
61,10.1016/j.scitotenv.2019.136118,a review of the occurrence of selected micropollutants and microorganisms in different raw and treated manure – environmental risk due to antibiotics after application to soil,the science of the total environment,2019,66,"['chlortetracycline', 'enrofloxacin', 'ofloxacin', 'oxytetracycline', 'sulfamethazine', 'tetracycline']",ofloxacin
62,10.1016/j.scitotenv.2018.11.061,"veterinary pharmaceuticals and antibiotics in manure and slurry and their fate in amended agricultural soils: findings from an experimental field site (baix empordà, ne catalonia)",the science of the total environment,2018,59,"['enrofloxacin', 'ofloxacin', 'tetracycline']",ofloxacin
63,10.1016/j.chemosphere.2017.09.016,natural soil mediated photo fenton-like processes in treatment of pharmaceuticals: batch and continuous approach,chemosphere,2017,28,"['ofloxacin', 'ornidazole']",ofloxacin
64,10.1016/j.scitotenv.2019.135825,pharmaceuticals and trace metals in the surface water used for crop irrigation: risk to health or natural attenuation?,the science of the total environment,2019,27,"['acetaminophen', 'carbamazepine', 'ciprofloxacin', 'ibuprofen', 'ofloxacin']",ofloxacin
65,10.1016/j.teac.2021.e00125,occurrence of pharmaceuticals and their metabolites in sewage sludge and soil: a review on their distribution and environmental risk assessment,trends in environmental analytical chemistry,2021,27,"['ciprofloxacin', 'estradiol', 'ofloxacin', 'triclocarban', 'triclosan']",ofloxacin
66,10.1016/j.envres.2019.04.011,"pharmaceuticals, herbicides, and disinfectants in agricultural water sources",environmental research,2019,25,"['azithromycin', 'caffeine', 'ciprofloxacin', 'ofloxacin', 'sulfamethoxazole']",ofloxacin
67,10.1016/j.geoderma.2020.114498,"occurrence, fate and environmental risk assessment of pharmaceutical compounds in soils amended with organic wastes",geoderma,2020,21,"['carbamazepine', 'ciprofloxacin', 'diclofenac', 'norfloxacin', 'ofloxacin', 'sulfadiazine', 'sulfamethoxazole', 'sulfamethoxypyridazine', 'trimethoprim', 'tylosin']",ofloxacin
68,10.1007/s11814-016-0345-6,comparative study on degradation of norfloxacin and ciprofloxacin by ganoderma lucidum japc1,korean journal of chemical engineering,2017,19,"['ciprofloxacin', 'norfloxacin', 'ofloxacin']",ofloxacin
69,10.1016/j.etap.2020.103410,"occurrence, sources and risk assessment of fluoroquinolones in dumpsite soil and sewage sludge from chennai, india",environmental toxicology and pharmacology,2020,17,"['ciprofloxacin', 'norfloxacin', 'ofloxacin']",ofloxacin
70,10.1016/j.scitotenv.2018.10.224,uptake and accumulation of emerging contaminants in soil and plant treated with wastewater under real-world environmental conditions in the al hayer area (saudi arabia),the science of the total environment,2018,58,"['atenolol', 'caffeine', 'carbamazepine', 'diazinon', 'gemfibrozil', 'ibuprofen', 'naproxen']",naproxen
71,10.1016/j.chemosphere.2017.02.027,sorption and desorption of selected non-steroidal anti-inflammatory drugs in an agricultural loam-textured soil,chemosphere,2017,55,"['diclofenac', 'ibuprofen', 'ketoprofen', 'naproxen']",naproxen
72,10.1016/j.scitotenv.2018.07.439,spatial distribution of pharmaceuticals in conventional wastewater treatment plant with sludge treatment reed beds technology,the science of the total environment,2018,39,"['diclofenac', 'flurbiprofen', 'ibuprofen', 'naproxen', 'paracetamol']",naproxen
73,10.1016/j.scitotenv.2018.11.249,a review of selected microcontaminants and microorganisms in land runoff and tile drainage in treated sludge-amended soils,the science of the total environment,2018,21,"['acetaminophen', 'carbamazepine', 'gemfibrozil', 'ibuprofen', 'naproxen', 'sulfamethoxazole', 'triclocarban', 'triclosan']",naproxen
74,10.1016/j.scitotenv.2017.12.243,mobility of pharmaceutical and personal care products in lime amended wastewater biosolids,the science of the total environment,2017,19,"['carbamazepine', 'erythromycin', 'fluoxetine', 'gemfibrozil', 'naproxen', 'triclosan']",naproxen
75,10.1007/978-981-10-4702-2_19,pharmaceuticals and personal care products (ppcps) as emerging environmental pollutants: toxicity and risk assessment,nan,2018,17,"['clofibrate', 'diclofenac', 'ibuprofen', 'naproxen', 'paracetamol']",naproxen
76,10.1080/09593330.2018.1499810,biodegradation of pharmaceuticals and personal care products in the sequential combination of activated sludge treatment and soil aquifer treatment,environmental technology,2018,17,"['carbamazepine', 'clofibric acid', 'crotamiton', 'gemfibrozil', 'ketoprofen', 'naproxen']",naproxen
77,10.1016/j.scitotenv.2021.146788,"a review of the current environmental status and human health implications of one of the most polluted rivers of mexico: the atoyac river, puebla",the science of the total environment,2021,14,"['diclofenac', 'naproxen', 'triclosan']",naproxen
78,10.1016/j.chemosphere.2017.03.021,investigating natural attenuation of pharmaceuticals through unsaturated column tests,chemosphere,2017,13,"['acetaminophen', 'caffeine', 'carbamazepine', 'naproxen', 'sulfamethoxazole']",naproxen
79,10.1016/j.envpol.2020.114364,enantiospecific behaviour of chiral drugs in soil,environmental pollution,2020,10,"['acebutolol', 'amphetamine', 'atenolol', 'bisoprolol', 'citalopram', 'fluoxetine', 'ibuprofen', 'metoprolol', 'naproxen', 'pheniramine', 'propranolol', 'salbutamol']",naproxen
80,10.1016/j.scitotenv.2019.135021,"pharmaceuticals, pesticides, personal care products and microplastics contamination assessment of al-hassa irrigation network (saudi arabia) and its shallow lakes",the science of the total environment,2019,75,"['atorvastatin', 'caffeine', 'diazinon', 'diclofenac', 'lorazepam', 'metformin', 'ofloxacin', 'paracetamol', 'salicylic acid', 'tramadol']",paracetamol
81,10.1016/j.jpba.2017.08.014,"multi-residue determination of 47 organic compounds in water, soil, sediment and fish—turia river as case study",journal of pharmaceutical and biomedical analysis,2017,53,"['ibuprofen', 'metoprolol', 'paracetamol', 'sulfamethoxazole', 'vildagliptin']",paracetamol
82,10.1016/j.scitotenv.2018.07.439,spatial distribution of pharmaceuticals in conventional wastewater treatment plant with sludge treatment reed beds technology,the science of the total environment,2018,39,"['diclofenac', 'flurbiprofen', 'ibuprofen', 'naproxen', 'paracetamol']",paracetamol
83,10.1016/j.scitotenv.2019.03.432,individual and mixture toxicity evaluation of three pharmaceuticals to the germination and growth of lactuca sativa seeds,the science of the total environment,2019,33,"['amoxicillin', 'ibuprofen', 'paracetamol']",paracetamol
84,10.1016/j.agee.2018.02.022,uptake and toxicological effects of pharmaceutical active compounds on maize,agriculture ecosystems & environment,2018,24,['paracetamol'],paracetamol
85,10.1016/j.chemosphere.2019.124515,biosorption of pharmaceutical products by mushroom stem waste,chemosphere,2019,23,"['estradiol', 'paracetamol']",paracetamol
86,10.1007/978-981-10-4702-2_19,pharmaceuticals and personal care products (ppcps) as emerging environmental pollutants: toxicity and risk assessment,nan,2018,17,"['clofibrate', 'diclofenac', 'ibuprofen', 'naproxen', 'paracetamol']",paracetamol
87,10.1016/j.jelechem.2020.114734,integrated-electrochemical approaches powered by photovoltaic energy for detecting and treating paracetamol in water,journal of electroanalytical chemistry,2020,13,['paracetamol'],paracetamol
88,10.1515/aep-2017-0028,environmental aspects of using gas chromatography for determination of pharmaceutical residues in samples characterized by different composition of the matrix,archives of environmental protection,2017,10,"['diclofenac', 'ibuprofen', 'naproxen', 'paracetamol']",paracetamol
89,10.1007/s11356-020-10868-z,removal efficiency of emerging micropollutants in biofilter wastewater treatment plants in tropical areas,environmental science and pollution research,2020,10,"['acetaminophen', 'atenolol', 'benzoylecgonine', 'caffeine', 'cannabinol', 'ethylparaben', 'furosemide', 'hydroxyibuprofen', 'ibuprofen', 'ketoprofen', 'methylparaben', 'naproxen', 'paracetamol']",paracetamol
90,10.1016/j.scitotenv.2019.135825,pharmaceuticals and trace metals in the surface water used for crop irrigation: risk to health or natural attenuation?,the science of the total environment,2019,27,"['acetaminophen', 'carbamazepine', 'ciprofloxacin', 'ibuprofen', 'ofloxacin']",ciprofloxacin
91,10.1016/j.teac.2021.e00125,occurrence of pharmaceuticals and their metabolites in sewage sludge and soil: a review on their distribution and environmental risk assessment,trends in environmental analytical chemistry,2021,27,"['ciprofloxacin', 'estradiol', 'ofloxacin', 'triclocarban', 'triclosan']",ciprofloxacin
92,10.1016/j.envres.2019.04.011,"pharmaceuticals, herbicides, and disinfectants in agricultural water sources",environmental research,2019,25,"['azithromycin', 'caffeine', 'ciprofloxacin', 'ofloxacin', 'sulfamethoxazole']",ciprofloxacin
93,10.1016/j.geoderma.2020.114498,"occurrence, fate and environmental risk assessment of pharmaceutical compounds in soils amended with organic wastes",geoderma,2020,21,"['carbamazepine', 'ciprofloxacin', 'diclofenac', 'norfloxacin', 'ofloxacin', 'sulfadiazine', 'sulfamethoxazole', 'sulfamethoxypyridazine', 'trimethoprim', 'tylosin']",ciprofloxacin
94,10.1007/s11814-016-0345-6,comparative study on degradation of norfloxacin and ciprofloxacin by ganoderma lucidum japc1,korean journal of chemical engineering,2017,19,"['ciprofloxacin', 'norfloxacin', 'ofloxacin']",ciprofloxacin
95,10.1016/j.etap.2020.103410,"occurrence, sources and risk assessment of fluoroquinolones in dumpsite soil and sewage sludge from chennai, india",environmental toxicology and pharmacology,2020,17,"['ciprofloxacin', 'norfloxacin', 'ofloxacin']",ciprofloxacin
96,10.1016/j.biortech.2020.123782,biochar affects the dissipation of antibiotics and abundance of antibiotic resistance genes in pig manure,bioresource technology,2020,16,"['ciprofloxacin', 'florfenicol', 'ofloxacin', 'oxytetracycline', 'sulfamethazine', 'tetracycline']",ciprofloxacin
97,10.1039/c7ay01801k,"optimizing extraction and analysis of pharmaceuticals in human urine, struvite, food crops, soil, and lysimeter water by liquid chromatography-tandem mass spectrometry",analytical methods,2017,13,"['ciprofloxacin', 'ofloxacin']",ciprofloxacin
98,10.1016/j.jece.2021.106015,performance improvement of the photocatalytic process for the degradation of pharmaceutical compounds using new pom/polymer photocatalysts,journal of environmental chemical engineering,2021,11,"['ciprofloxacin', 'erythromycin', 'ibuprofen', 'ofloxacin', 'oxytetracycline', 'tetracycline']",ciprofloxacin
99,10.3103/s1063455x1701009x,estimation of residual antibiotics in soil and underground water of areas affected by pharmaceutical wastewater in lahore,journal of water chemistry and technology,2017,9,"['ciprofloxacin', 'doxycycline', 'levofloxacin', 'ofloxacin', 'oxytetracycline', 'tetracycline']",ciprofloxacin
100,10.1016/j.scitotenv.2019.135021,"pharmaceuticals, pesticides, personal care products and microplastics contamination assessment of al-hassa irrigation network (saudi arabia) and its shallow lakes",the science of the total environment,2019,75,"['atorvastatin', 'caffeine', 'diazinon', 'diclofenac', 'lorazepam', 'metformin', 'ofloxacin', 'paracetamol', 'salicylic acid', 'tramadol']",caffeine
101,10.1016/j.scitotenv.2018.10.224,uptake and accumulation of emerging contaminants in soil and plant treated with wastewater under real-world environmental conditions in the al hayer area (saudi arabia),the science of the total environment,2018,58,"['atenolol', 'caffeine', 'carbamazepine', 'diazinon', 'gemfibrozil', 'ibuprofen', 'naproxen']",caffeine
102,10.1016/j.scitotenv.2018.01.168,impacts of irrigation water sources and geochemical conditions on vertical distribution of pharmaceutical and personal care products (ppcps) in the vadose zone soils,the science of the total environment,2018,51,"['caffeine', 'carbamazepine']",caffeine
103,10.1007/s11356-019-06998-8,"occurrence, fate, persistence and remediation of caffeine: a review",environmental science and pollution research,2019,47,['caffeine'],caffeine
104,10.1016/j.envpol.2020.116353,pharmaceuticals and personal care products in a mediterranean coastal wetland: impact of anthropogenic and spatial factors and environmental risk assessment,environmental pollution,2020,33,"['caffeine', 'diclofenac', 'furosemide', 'ibuprofen', 'metformin', 'salicylic acid', 'tramadol']",caffeine
105,10.1016/j.scitotenv.2017.10.013,"source estimation of pharmaceuticals based on catchment population and in-stream attenuation in yodo river watershed, japan",the science of the total environment,2017,31,"['acetaminophen', 'caffeine', 'lincomycin', 'sulfamonomethoxine', 'theophylline']",caffeine
106,10.1016/j.scitotenv.2018.03.100,occurrence and removal of pharmaceutical compounds and steroids at four wastewater treatment plants in hawai'i and their environmental fate,the science of the total environment,2018,28,"['caffeine', 'diphenhydramine', 'ibuprofen', 'sulfamethoxazole']",caffeine
107,10.1021/acs.jafc.7b04355,uptake and accumulation of pharmaceuticals in overhead- and surface-irrigated greenhouse lettuce,journal of agricultural and food chemistry,2018,25,"['caffeine', 'carbamazepine', 'monensin', 'sulfadiazine', 'sulfamethoxazole', 'trimethoprim', 'tylosin']",caffeine
108,10.1016/j.envres.2019.04.011,"pharmaceuticals, herbicides, and disinfectants in agricultural water sources",environmental research,2019,25,"['azithromycin', 'caffeine', 'ciprofloxacin', 'ofloxacin', 'sulfamethoxazole']",caffeine
