,Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,Sustainable Development Goals,pharmaceuticals
2007,2182,pub.1076887154,10.2166/wst.2004.0130,15344795.0,nan,investigation on the behaviour of selected pharmaceuticals in the groundwater after infiltration of treated wastewater,in a rural arid area without suitable receiving water the treated wastewater of a low loaded municipal wastewater treatment plant with full nutrient removal and additional post treatment steps is infiltrated into the unsaturated soil for groundwater recharge groundwater probes at increasing distances from the infiltration point have been sampled every two months over a period of months beside conventional parameters nutrients carbon and bacterial counts samples were analysed for pharmaceutically active substances depending on and corresponding to their chemical structure and their fate during wastewater treatment the selected substances showed different behaviour in the saturated zone of the groundwater the antiepileptic carbamazepine behaves very conservative and only is removed negligible even after long flow times within the subsurface zone for other substances like the tranquilizer diazepam or the analgesics diclofenac a partial elimination during the different steps of wastewater treatment can be observed further degradation could be observed during the subsequent subsurface passage in correlation with flow time additional removal of these substances from the aqueous phase can be observed the musk substances galaxolide and tonalide were removed to some extend but not as good as the previous mentioned compounds ,nan,water science & technology,nan,"environmental monitoring; filtration; pharmaceutical preparations; soil; waste disposal, fluid; water pollutants, chemical",2004-07-01,2004,nan,2004-07-01,50,2,221-228,closed,article,"kreuzinger, n.; clara, m.; strenn, b.; vogel, b.","kreuzinger, n. (institute for water quality and waste management, vienna university of technology, karlsplatz 13/226, 1040 vienna, austria); clara, m. (institute for water quality and waste management, vienna university of technology, karlsplatz 13/226, 1040 vienna, austria); strenn, b. (institute for water quality and waste management, vienna university of technology, karlsplatz 13/226, 1040 vienna, austria); vogel, b. (institute for water quality and waste management, vienna university of technology, karlsplatz 13/226, 1040 vienna, austria)","kreuzinger, n. (tu wien)","kreuzinger, n. (tu wien); clara, m. (tu wien); strenn, b. (tu wien); vogel, b. (tu wien)",63,2,1.28,6.6,nan,https://app.dimensions.ai/details/publication/pub.1076887154,09 engineering; 0907 environmental engineering,nan,"['carbamazepine', 'diazepam', 'diclofenac']"
2013,2161,pub.1010911058,10.1016/j.watres.2003.10.058,14769414.0,nan,carbamazepine as a possible anthropogenic marker in the aquatic environment: investigations on the behaviour of carbamazepine in wastewater treatment and during groundwater infiltration,sewage treatment plant stp effluents are significant sources of pharmaceutical residues in surface waters where high concentrations of the antiepileptic drug carbamazepine have been detected the solids retention time srt is the most important parameter for the design of stps it relates to the growth rate of microorganisms and to effluent concentrations the influence of srt on the removal of carbamazepine was studied on lab scale plants the results from these tests were then validated on several full scale plants due to the lack of suitable receiving waters and groundwater resources one of these stps has to infiltrate the treated wastewater into unsaturated soil here groundwater samples at equal distances from the infiltration point were taken to estimate the behaviour of carbamazepine during soil passage and within the groundwater this antiepileptic drug seems to be very persistent in the environment therefore qualifying as a suitable marker for anthropogenic influences in the aquatic environment ,"the presented results have been derived from the “poseidon” project: assessment of technologies for the removal of pharmaceuticals and personal care products in sewage and drinking water facilities to improve the indirect potable water reuse; eu funded project, nr. : evk1-ct-2000-00047.",water research,nan,"anticonvulsants; carbamazepine; environmental monitoring; sewage; soil; soil pollutants; waste disposal, fluid; water pollutants, chemical; water supply",2004-02,2004,nan,2004-02,38,4,947-954,closed,article,"clara, m.; strenn, b.; kreuzinger, n.","clara, m. (institute for water quality and waste management, vienna university of technology, a-1040 vienna, karlsplatz 13/226, austria); strenn, b. (institute for water quality and waste management, vienna university of technology, a-1040 vienna, karlsplatz 13/226, austria); kreuzinger, n. (institute for water quality and waste management, vienna university of technology, a-1040 vienna, karlsplatz 13/226, austria)","clara, m. (tu wien)","clara, m. (tu wien); strenn, b. (tu wien); kreuzinger, n. (tu wien)",613,71,14.19,51.64,nan,https://app.dimensions.ai/details/publication/pub.1010911058,09 engineering; 0605 microbiology; 06 biological sciences; 0907 environmental engineering,nan,['carbamazepine']
2162,485,pub.1050134332,10.1071/en04008,nan,nan,transport and attenuation of pharmaceutical residues during artificial groundwater replenishment,environmental context the contamination of public water supplies by drug residues is an issue of importance for public health while soil may act as a natural filter to remove some contaminants from groundwater there is a lack of information on the fate and transport of pharmaceutical residues during groundwater recharge in this study the fate and the transport of eight drug residues during groundwater recharge of contaminated surface water which was investigated at an artificial groundwater replenishment plant in berlin germany as part of the international collaboration nasri natural and artificial systems for recharge and infiltration the study shows that some of the contaminants would indeed end up in the water supply if the water only underwent normal groundwater recharge abstract recently several new types of organic contaminants such as pharmaceuticals and their metabolites have been found in sewage or surface waters some of the polar pharmaceuticals have also been detected in samples of ground and drinking water especially when water from induced recharge is used for drinking water production the fate and the transport of eight drug residues during groundwater recharge gwr of contaminated surface water was investigated at an artificial groundwater replenishment plant in berlin germany after a recharge distance of only a few meters bezafibrate a blood lipid regulator and indomethacin an analgesic were removed below their detection limits clofibric acid a metabolite of blood lipid lowering agents and the analgesic drugs diclofenac and propyphenazone were also attenuated during gwr however they were still detectable in the receiving water supply wells at low concentration levels ng l the anti epileptic drugs carbamazepine and primidone and the drug metabolite amdoph acetyl methyl dimethyl oxamoyl phenylhydrazide were not significantly affected by gwr occurring in the water supply wells at mean individual concentrations between and ng l ,the authors thank the berlin water co. and veolia water for funding in terms of the sub-project ‘bank filtration: drug residues’ as part of the interdisciplinary nasri (natural and artificial systems for recharge and infiltration) project. more and supplemental information are also available at www.kompetenz-wasser.de/engl/projekte/proj_bf.htm and www.kompetenz-wasser.de/engl/downloads/nasri-workshop/drugs_ws03.pdf.,environmental chemistry,nan,nan,2004-07-01,2004,2004-07-01,2004,1,1,22-25,all oa; gold,article,"heberer, thomas; adam, marc","heberer, thomas (federal institute for risk assessment, fb 702, thielallee 88–92, 14195 berlin, germany; institute of food chemistry, technical university of berlin, sekr. tib 4/3-1, 13355 berlin, germany); adam, marc (institute of food chemistry, technical university of berlin, sekr. tib 4/3-1, 13355 berlin, germany)",nan,"heberer, thomas (federal institute for risk assessment; technical university of berlin); adam, marc (technical university of berlin)",49,5,nan,4.53,http://dx.doi.org/10.1071/en04008,https://app.dimensions.ai/details/publication/pub.1050134332,0406 physical geography and environmental geoscience; 04 earth sciences,nan,"['bezafibrate', 'carbamazepine', 'clofibric acid', 'diclofenac', 'phenazone', 'primidone', 'propyphenazone']"
2319,1634,pub.1112575018,10.1016/j.scitotenv.2019.03.073,30889446.0,nan,greywater irrigation as a source of organic micro-pollutants to shallow groundwater and nearby surface water,increased water demands due to population growth and increased urbanisation have driven adoption of various water reuse practices the irrigation of greywater water from all household uses except toilets has been proposed as one potential sustainable practice research has clearly identified environmental harm from the presence of micro pollutants in soils groundwater and surface water greywater contains a range of micro pollutants yet very little is known about their potential environmental fate when greywater is irrigated to soil therefore this study assessed whether organic micro pollutants in irrigated greywater were transferred to shallow groundwater and an adjacent surface waterway a total of organic micro pollutants were detected in greywater six of these acesulfame caffeine deet paracetamol salicylic acid and triclosan were selected as potential tracers of greywater contamination three of these chemicals acesulfame caffeine deet were detected in the groundwater while salicylic acid was also detected in adjacent surface water caffeine and deet in surface water were directly attributable to greywater irrigation thus the practice of greywater irrigation can act as a source of organic micro pollutants to shallow groundwater and nearby surface water the full list of micro pollutants that could be introduced via greywater and the risk they pose to aquatic ecosystems is not yet known ,"the authors would like to thank all reviewers who provided useful comment on this manuscript. the authors would also like to acknowledge the queensland government for providing r.d.r. turner with study time and funding for this research project. we particularly would like to thank the staff at the national research centre for environmental toxicology, university of queensland (entox) and queensland health forensic scientific services (qhfss) for their time and assistance. thanks to colleagues at the queensland government who provided, valuable advice and support and the internal reviewers. this research would not have been possible without the support of the residents at payne road, the gap, queensland, australia.",the science of the total environment,nan,"agricultural irrigation; environmental monitoring; fresh water; groundwater; waste disposal, fluid; waste water; water pollutants, chemical",2019-03-06,2019,2019-03-06,2019-06,669.0,nan,570-578,all oa; green,article,"turner, ryan d r; warne, michael st j; dawes, les a; thompson, kristie; will, geoffrey d","turner, ryan d r (water quality and investigations, environmental monitoring and assessment science, science division, the state of queensland, department of environment and science, dutton park, queensland, australia; school of physical and chemical sciences, queensland university of technology, brisbane, queensland, australia; australian rivers institute, griffith university, nathan, queensland, australia. electronic address: ryan.turner@qld.gov.au.); warne, michael st j (school of earth and environmental sciences, university of queensland, brisbane, queensland, australia; centre for agroecology, water and resilience, coventry university, coventry, west midlands, united kingdom; water quality and investigations, environmental monitoring and assessment science, science division, the state of queensland, department of environment and science, dutton park, queensland, australia; australian rivers institute, griffith university, nathan, queensland, australia.); dawes, les a (school of physical and chemical sciences, queensland university of technology, brisbane, queensland, australia.); thompson, kristie (national research centre for environmental toxicology, university of queensland, robertson, queensland, australia.); will, geoffrey d (school of physical and chemical sciences, queensland university of technology, brisbane, queensland, australia.)","turner, ryan d r (queensland government; queensland university of technology; griffith university)","turner, ryan d r (queensland government; queensland university of technology; griffith university); warne, michael st j (university of queensland; coventry university; queensland government; griffith university); dawes, les a (queensland university of technology); thompson, kristie (university of queensland); will, geoffrey d (queensland university of technology)",20,13,1.94,3.97,https://eprints.qut.edu.au/127548/1/greywater%20irrigation%20as%20a%20source%20of%20organic.pdf,https://app.dimensions.ai/details/publication/pub.1112575018,09 engineering; 0503 soil sciences; 0406 physical geography and environmental geoscience; 0799 other agricultural and veterinary sciences; 04 earth sciences; 05 environmental sciences; 0907 environmental engineering; 07 agricultural and veterinary sciences,nan,"['caffeine', 'paracetamol', 'salicylic acid', 'triclosan']"
2540,2129,pub.1149937046,10.1016/j.jenvman.2022.115703,35932733.0,nan,global groundwater vulnerability for pharmaceutical and personal care products (ppcps): the scenario of second decade of 21st century,the global production of ppcps have increased by multiple folds promoting excessive exposure of its metabolites to humans via different aquatic systems the higher residence time of toxic precursors of these metabolites pose direct human health risk among the different aquatic systems the contamination of groundwater by ppcps is the most concerning threat this threat is especially critical considering the lesser oxidizing potential of the groundwater as compared to freshwater river water a major challenge also arises due to excessive dependency of the world s population on groundwater which is exponentially increasing with time this makes the identification and characterization of spatial contamination hotspots highly probabilistic as compared to other freshwater systems the situation is more vulnerable in developing countries where there is a reported inadequacy of wastewater treatment facilities thereby forcing the groundwater to behave as the only available sequestrating sink for all these contaminants with increased consumption of antibiotics and other pharmaceuticals compounds these wastes have proven capability in terms of enhancing the resistance among the biotic community of the soil systems which ultimately can become catastrophic and carcinogenic in near future recent studies are supporting the aforementioned concern where compounds like diclofenac analgesic have attained a concentration of mgl in the aquifer systems of delhi india the situation is far worse for developed nations where prolonged and indiscriminate usage of antidepressants and antibiotics have life threating consequences it has been confirmed that certain compounds like ofloxacin antibiotics and bis ethylhexyl phthalate are present in some of the most sensitive wells springs of the united states and mexico the current trend of the situation has been demonstrated by integrating a comparative approach of the published literatures in last three years this review provides first hand information report for formulating a directive policy framework for tackling ppcps issues in the groundwater system ,"the author acknowledges the contribution of university of petroleum and energy studies, dehradun in providing an excellent research infrastructure that helped in conceptualizing the present study.",journal of environmental management,nan,nan,2022-08-03,2022,2022-08-03,2022-10,320.0,nan,115703,closed,article,"silori, rahul; shrivastava, vikalp; singh, ashwin; sharma, pradeep; aouad, marwan; mahlknecht, jürgen; kumar, manish","silori, rahul (school of engineering, university of petroleum & energy studies, dehradun, uttarakhand, 248007, india.); shrivastava, vikalp (school of engineering, university of petroleum & energy studies, dehradun, uttarakhand, 248007, india.); singh, ashwin (discipline of civil engineering, indian institute of technology gandhinagar, gandhinagar, 382355, gujarat, india.); sharma, pradeep (department of environmental science, graphic era deemed to be university, dehradun, uttarakhand, 248002, india.); aouad, marwan (college of engineering, applied science university (asu), kingdom of bahrain.); mahlknecht, jürgen (escuela de ingeniería y ciencias, tecnologico de monterrey, campus monterey, monterrey, 64849, nuevo leon, mexico.); kumar, manish (school of engineering, university of petroleum & energy studies, dehradun, uttarakhand, 248007, india. electronic address: manish.env@gmail.com.)","kumar, manish (university of petroleum and energy studies)","silori, rahul (university of petroleum and energy studies); shrivastava, vikalp (university of petroleum and energy studies); singh, ashwin (indian institute of technology gandhinagar); sharma, pradeep (graphic era university); aouad, marwan (applied science university); mahlknecht, jürgen (monterrey institute of technology and higher education); kumar, manish (university of petroleum and energy studies)",0,0,nan,nan,nan,https://app.dimensions.ai/details/publication/pub.1149937046,09 engineering; 0907 environmental engineering,nan,"['diclofenac', 'ofloxacin']"
2565,1768,pub.1145455391,10.1016/j.chemosphere.2022.133945,35157888.0,nan,use of groundwater and reclaimed water for agricultural irrigation: farmers’ practices and attitudes and related environmental and health risks,agricultural reuse of treated wastewater tww for irrigation is widely practiced its conjunctive use with freshwater is becoming more common to guarantee food security while the rationale behind and its sustainability are quite arguable the objective of this study is to better understand the drivers of the conjunctive use of tww and groundwater gw in nabeul region tunisia and the potential environmental and health impacts taking into account farmers practices and attitudes toward reuse tww used for irrigation exhibited relatively high salinity and high microbiological load gw has a very high salinity tww and gw showed low concentrations of heavy metals al cd co cu cr mn ni pb and zn concentrations of pharmaceutical compounds were between limits of quantification and g l in gw values were relatively high especially for caffeine carbamazepine ofloxacin and ketoprofen farmers have a low perception of the polluting load of tww and gw and of their potential long term impacts on agricultural environment human health and agricultural productivity gw availability has facilitated its conjunctive use with tww either to augment water quantity and or to improve its quality despite its low quality gw timeliness for irrigation was the main driver to guarantee a better yield and quality of produces soil microbial community bacterial biomass denitrifying potential and carbon oxidation profiles were similar under tww gw and their conjunctive use though an effect of the sampling period was observed with a high abundance of denitrifying bacteria in the wet season and a low carbon oxidation activity at the end of the dry season the conjunctive use of tww and gw is very likely unsustainable from health and environmental perspectives balancing farmers economic profit against the preservation of agricultural activity linked to cultural and natural heritage remains one of the challenges for decision makers and regional stakeholders ,"this research work was funded by the united states agency for international development (usaid) under the further advancing the blue revolution initiative (fabri) within the research project “mitigating environmental risks of wastewater reuse for agriculture” (2013–2017) (grant no. prd 03-03). it has partially received funds from brgm (sorpantinano project) for the analysis of emerging contaminants and microbiological soil quality. are acknowledged all persons who contributed to this research study especially the water users&#x27; association (gda) souhil, farmers in oued souhil area, crda nabeul and mr. sayed selmi and mr. ammar nefati for contributing to conducting the survey.",chemosphere,nan,agricultural irrigation; attitude; farmers; groundwater; humans; waste water; water,2022-02-11,2022,2022-02-11,2022-05,295.0,nan,133945,closed,article,"mahjoub, olfa; mauffret, aourell; michel, caroline; chmingui, walid","mahjoub, olfa (university of carthage, national research institute for rural engineering, water, and forestry (inrgref), hedy karray street, p.o. box 10, 2080, ariana, tunisia; university of carthage, laboratory of agricultural sciences and techniques (lr16inrat05), national institute of agronomic research of tunisia (inrat), tunisia. electronic address: mahjoub.olfa@iresa.agrinet.tn.); mauffret, aourell (ifremer, rbe, chemical contamination of marine ecosystems, nantes, france; brgm, depa (direction de l'eau, de l'environnement, des procédés et analyses), gme (unité géomicrobiologie et monitoring environnemental), 3 avenue claude guillemin, bp 36000, 45060, orléans, cedex 2, france.); michel, caroline (brgm, depa (direction de l'eau, de l'environnement, des procédés et analyses), gme (unité géomicrobiologie et monitoring environnemental), 3 avenue claude guillemin, bp 36000, 45060, orléans, cedex 2, france.); chmingui, walid (university of carthage, national research institute for rural engineering, water, and forestry (inrgref), hedy karray street, p.o. box 10, 2080, ariana, tunisia; university of carthage, laboratory of agricultural sciences and techniques (lr16inrat05), national institute of agronomic research of tunisia (inrat), tunisia.)","mahjoub, olfa (university of carthage)","mahjoub, olfa (university of carthage); mauffret, aourell (french research institute for exploitation of the sea; bureau de recherches géologiques et minières); michel, caroline (bureau de recherches géologiques et minières); chmingui, walid (university of carthage)",2,2,nan,nan,nan,https://app.dimensions.ai/details/publication/pub.1145455391,0503 soil sciences; 05 environmental sciences,6 clean water and sanitation,"['caffeine', 'carbamazepine', 'ketoprofen', 'ofloxacin']"
2578,1595,pub.1146515789,10.1016/j.chemosphere.2022.134395,35339518.0,nan,unraveling the occurrence of contaminants of emerging concern in groundwater from urban setting: a combined multidisciplinary approach and self-organizing maps,in recent decades changes in human behavior and new technologies have introduced thousands of new compounds into the environment called contaminants of emerging concern cec these compounds have been detected in different environmental compartments such as soil surface water air and groundwater the presence of these contaminants in groundwater may pose risks to human health when used as potable water in some urban areas in brazil groundwater is normally consumed without previous treatment this study aimed to use statistical analysis by self organizing maps som to evaluate the trends of cec in urban groundwater systems a total of cec compounds including pesticides pharmaceuticals and hormones were determined in groundwater samples using solid phase extraction and liquid chromatography mass spectrometry the cec most frequently detected were atrazine and degradation products fipronil simazine tebuconazole hexazinone and caffeine in concentrations up to ngl all studied compounds were detected in groundwater at least in one sample patterns in the data through som have shown a strong positive correlation between atrazine hexazinone simazine tebuthiuron hydroxyatrazine and estradiol the hormones estrone and testosterone also show a positive correlation due to their similar chemical properties on the other hand caffeine was detected in of the samples likely due to a population habit of taking daily a hot drink made of yerba mate associated with low rates of treated domestic sewage in the study area ,"this work was financed by national institute of advanced analytical sciences and technologies (inctaa, cnpq grant n. 465768/2014-8 and fapesp grant n. 2014/50951-4). paulo henrique prado stefano and matheus rossi acknowledges national council for scientific and technological development (cnpq) for the fellowships. the authors acknowledge the brazilian ministry of education, coordenação de aperfeiçoamento de pessoal de nível superior - brazil (capes) (finance code 001) for the personal grant provided to mariana amaral dias.",chemosphere,nan,"atrazine; caffeine; environmental monitoring; groundwater; hormones; humans; simazine; water pollutants, chemical",2022-03-23,2022,2022-03-23,2022-07,299.0,nan,134395,closed,article,"stefano, paulo henrique prado; roisenberg, ari; santos, matheus rossi; dias, mariana amaral; montagner, cassiana carolina","stefano, paulo henrique prado (hydrogeochemistry laboratory, geosciences institute, federal university of rio grande do sul, porto alegre, brazil; environmental chemistry laboratory, analytical chemistry department, institute of chemistry, university of campinas, campinas, são paulo, brazil.); roisenberg, ari (hydrogeochemistry laboratory, geosciences institute, federal university of rio grande do sul, porto alegre, brazil.); santos, matheus rossi (hydrogeochemistry laboratory, geosciences institute, federal university of rio grande do sul, porto alegre, brazil.); dias, mariana amaral (environmental chemistry laboratory, analytical chemistry department, institute of chemistry, university of campinas, campinas, são paulo, brazil.); montagner, cassiana carolina (environmental chemistry laboratory, analytical chemistry department, institute of chemistry, university of campinas, campinas, são paulo, brazil. electronic address: ccmonta@unicamp.br.)","montagner, cassiana carolina (state university of campinas)","stefano, paulo henrique prado (federal university of rio grande do sul; state university of campinas); roisenberg, ari (federal university of rio grande do sul); santos, matheus rossi (federal university of rio grande do sul); dias, mariana amaral (state university of campinas); montagner, cassiana carolina (state university of campinas)",0,0,nan,nan,nan,https://app.dimensions.ai/details/publication/pub.1146515789,03 chemical sciences; 0301 analytical chemistry,nan,"['caffeine', 'estradiol', 'estrone', 'testosterone']"
2622,592,pub.1147877034,10.3390/w14101560,nan,nan,"pharmaceuticals as emerging pollutants in the reclaimed wastewater used in irrigation and their effects on plants, soils, and groundwater",pharmaceuticals and personal care products ppcps were investigated in five wastewater treatment plants wwtps groundwater irrigated soils and plants in amman and al balqa governorates in jordan ppcps were extracted from water samples by solid phase extraction spe and analyzed by high performance liquid chromatography coupled with tandem mass spectrometry hplcms ms carbamazepine ciprofloxacin ceftiofur diclofenac erythromycin lincomycin ofloxacin pyrimthamine spiramycin sulfamethoxazole sulfapyridine testosterone trimethoprim and thiamphenicol were detected in all raw wastewaters in g l whereas ppcps were below the detection limits g l in all samples na ur and abu nuseir wwtps showed high ppcps removal efficiencies in comparison with al baqa a salt and fuhais mahis wwtps boqorreya spring showed signs of contamination by salt wwtp effluents as a result of mixing irrigation with effluents showed higher carbamazepine concentrations in soils at the top soil layers to cm in all farms than its concentrations at the root zone to cm by using drip irrigation system with various plants in plants carbamazepine concentration was only detected in high concentration level in mint leaves in the same farm diclofenac concentration was detected only in olives and not in twigs and leaves indicating a high rate of plant uptake especially during the olives growth period furthermore plant fruits leaves and stems left on the farm after harvesting are generally consumed by cattle which means entering the food chain of humans ,nan,water,nan,nan,2022-05-12,2022,2022-05-12,nan,14.0,10,1560,all oa; gold,article,"abdallat, ghaida ali; salameh, elias; shteiwi, musa; bardaweel, sanaa","abdallat, ghaida ali (); salameh, elias (); shteiwi, musa (); bardaweel, sanaa ()",nan,"abdallat, ghaida ali (); salameh, elias (); shteiwi, musa (); bardaweel, sanaa ()",0,0,nan,nan,https://www.mdpi.com/2073-4441/14/10/1560/pdf?version=1652414740,https://app.dimensions.ai/details/publication/pub.1147877034,09 engineering; 0907 environmental engineering; 0607 plant biology; 03 chemical sciences; 0301 analytical chemistry; 06 biological sciences,nan,"['carbamazepine', 'ceftiofur', 'ciprofloxacin', 'diclofenac', 'erythromycin', 'lincomycin', 'ofloxacin', 'spiramycin', 'sulfamethoxazole', 'sulfapyridine', 'testosterone', 'thiamphenicol', 'trimethoprim']"
2832,2222,pub.1109767057,10.1371/journal.pone.0206004,30403721.0,pmc6221291,concentrations of pharmaceuticals and other micropollutants in groundwater downgradient from large on-site wastewater discharges,large subsurface treatment systems lsts and rapid infiltration basins rib are preferred onsite wastewater treatments compared to direct discharge of treated wastewater to streams and adjacent facilities discharge of these wastewater treatments may result in contaminant loading to aquifers that also serve as drinking water sources downgradient from the discharge site until recently few studies have characterized the contribution of micropollutants e g pharmaceuticals fragrances flame retardants etc to receiving aquifers we conducted a pilot project to characterize the occurrence of micropollutants in groundwater downgradient from on site treatment systems in minnesota usa community lsts and municipal rib one downgradient monitoring well was sampled three times at each facility over one year of micropollutants analyzed were detected total sample concentrations ranged from to ng l sulfamethoxazole antibiotic was detected in all samples at concentrations from to ng l other pharmaceuticals ng l organophosphorus flame retardants ng l and other anthropogenic chemicals ng l were also detected the numbers and concentrations of micropollutants detected were inversely related to dissolved oxygen and depth to water ratios of pharmaceutical concentrations to human health screening values were for most samples however concentrations of carbamazepine and sulfamethoxazole exceeded screening values at two sites study results illustrate that large on site wastewater systems designed to discharge to permeable soil or shallow groundwater effectively deliver pharmaceuticals and other micropollutants to groundwater aquifers and could contribute micropollutants to drinking water via water supply wells ,"funding for this study was provided by the state of minnesota clean water fund via the minnesota pollution control agency and the usgs cooperative matching fund. funding for this study was provided by the state of minnesota clean water fund via the minnesota pollution control agency and the usgs cooperative matching fund. we would like to thank the facility owners and operators for their cooperation and participation in this study. we thank our colleague patrick phillips, whose comprehensive review greatly improved this manuscript. any use of trade, firm, or product names is for descriptive purposes only and does not imply endorsement by the u.s. government.",plos one,nan,"groundwater; humans; minnesota; pharmaceutical preparations; waste disposal, fluid; waste water; water pollutants, chemical",2018-11-07,2018,2018-11-07,nan,13,11,e0206004,all oa; gold,article,"elliott, sarah m.; erickson, melinda l.; krall, aliesha l.; adams, byron a.","elliott, sarah m. (u.s. geological survey, mounds view, minnesota, united states of america); erickson, melinda l. (u.s. geological survey, mounds view, minnesota, united states of america); krall, aliesha l. (u.s. geological survey, mounds view, minnesota, united states of america); adams, byron a. (minnesota pollution control agency, st. paul, minnesota, united states of america)","elliott, sarah m. ","elliott, sarah m. (); erickson, melinda l. (); krall, aliesha l. (); adams, byron a. (minnesota pollution control agency)",23,15,1.2,3.71,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0206004&type=printable,https://app.dimensions.ai/details/publication/pub.1109767057,0502 environmental science and management; 09 engineering; 05 environmental sciences; 0907 environmental engineering,nan,"['carbamazepine', 'sulfamethoxazole']"
2873,1496,pub.1100811745,10.1016/j.chemosphere.2018.01.154,29427952.0,nan,"survey of 218 organic contaminants in groundwater derived from the world's largest untreated wastewater irrigation system: mezquital valley, mexico",the mezquital valley system is the world s oldest and largest example with regard to use of untreated wastewater for agricultural irrigation because of the artificial high recharge associated with the mezquital valley aquifers groundwater is extracted for human consumption and there are plans to use this groundwater as a water resource for mexico city thus this study analyzed organic micro contaminants in wastewater springs and groundwater from mezquital valley five volatile organic compounds vocs and nine semi volatile organic compounds svocs were detected in the wastewater used for irrigation only two svocs bis ethylhexyl phthalate and dibutyl phthalate were detected in all the wastewater canals and groundwater sources whereas no vocs were detected in groundwater and springs of the pharmaceutically active compounds phacs and reproductive hormones measured phacs and hormones were detected in the wastewater of these metformin caffeine and acetaminophen account for almost sixty percent of the total phacs in wastewater nevertheless phacs were detected in groundwater sources where the majority of these compounds have low detection frequencies the phacs sulfamethoxazole n n diethyl meta toluamide carbamazepine and benzoylecgonine primary cocaine metabolite were frequently detected in groundwater suggesting that although the soils act as a filter adsorbing and degrading the majority of the organic pollutant content in wastewater these phacs still reach the aquifer therefore the presence of these phacs together with the high levels of the endocrine disruptor bis ethylhexyl phthalate indicate that water sources derived from the recharge of the studied aquifers may pose a risk to consumer health ,the authors would like to thank dr. rafael carmona-paredes (unam) and ings. serafín gonzalez and sergio ramos (conagua) for their help and support during the development of this project. the constructive comments of three anonymous reviewers are acknowledged.,chemosphere,nan,"adsorption; agricultural irrigation; dibutyl phthalate; diethylhexyl phthalate; endocrine disruptors; environmental monitoring; groundwater; humans; mexico; pharmaceutical preparations; soil; volatile organic compounds; waste water; water pollutants, chemical; water resources",2018-02-03,2018,2018-02-03,2018-05,198,nan,510-521,all oa; hybrid,article,"lesser, luis e.; mora, abrahan; moreau, cristina; mahlknecht, jürgen; hernández-antonio, arturo; ramírez, aldo i.; barrios-piña, héctor","lesser, luis e. (lesser y asociados, s.a. de c.v., querétaro, mexico; escuela de ingeniería y ciencias, tecnológico de monterrey, mexico); mora, abrahan (centro del agua para américa latina y el caribe, escuela de ingeniería y ciencias, tecnológico de monterrey, mexico); moreau, cristina (centro del agua para américa latina y el caribe, escuela de ingeniería y ciencias, tecnológico de monterrey, mexico); mahlknecht, jürgen (centro del agua para américa latina y el caribe, escuela de ingeniería y ciencias, tecnológico de monterrey, mexico); hernández-antonio, arturo (escuela de ingeniería y ciencias, tecnológico de monterrey, mexico); ramírez, aldo i. (centro del agua para américa latina y el caribe, escuela de ingeniería y ciencias, tecnológico de monterrey, mexico); barrios-piña, héctor (centro del agua para américa latina y el caribe, escuela de ingeniería y ciencias, tecnológico de monterrey, mexico)","mora, abrahan (monterrey institute of technology and higher education)","lesser, luis e. (monterrey institute of technology and higher education); mora, abrahan (monterrey institute of technology and higher education); moreau, cristina (monterrey institute of technology and higher education); mahlknecht, jürgen (monterrey institute of technology and higher education); hernández-antonio, arturo (monterrey institute of technology and higher education); ramírez, aldo i. (monterrey institute of technology and higher education); barrios-piña, héctor (monterrey institute of technology and higher education)",93,47,5.98,15.15,https://doi.org/10.1016/j.chemosphere.2018.01.154,https://app.dimensions.ai/details/publication/pub.1100811745,09 engineering; 0406 physical geography and environmental geoscience; 04 earth sciences; 0907 environmental engineering,nan,"['acetaminophen', 'benzoylecgonine', 'caffeine', 'carbamazepine', 'metformin', 'sulfamethoxazole']"
